,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
723,00-0035406,L.Humphrey,Lil'Jordan Humphrey,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r58pqj96qunak08kld9u",NE,2022,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,9.0,0,0.0,0.0,-2.0,11.0,0.0,0.8189117,0,0.0,0.05,-0.018181818,0.062272727,0.0,0.9,1.9
724,00-0035414,J.Guyton,Jalen Guyton,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pnvdzb1ltbxpcdzmjfe0",LAC,2022,1,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,28.0,0.0,0.0,-1.3466781,0,0.0,0.029411765,0.11914894,0.1275219,0.0,0.0,0.0
725,00-0035414,J.Guyton,Jalen Guyton,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pnvdzb1ltbxpcdzmjfe0",LAC,2022,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,3,64.0,0,0.0,0.0,87.0,7.0,2.0,5.610711,0,0.7356322,0.07317073,0.24928367,0.28425467,0.0,6.4,8.4
726,00-0035500,G.Dortch,Greg Dortch,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j5xmpo01eea118axwwaj",ARI,2022,1,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,9,63.0,0,0.0,0.0,62.0,31.0,3.0,3.3176315,0,1.016129,0.25,0.23308271,0.5381579,0.0,6.3,13.3
727,00-0035500,G.Dortch,Greg Dortch,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j5xmpo01eea118axwwaj",ARI,2022,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,4,55.0,1,0.0,0.0,21.0,34.0,3.0,6.801499,0,2.6190476,0.08510638,0.087866105,0.18916585,0.0,11.5,15.5
728,00-0035500,G.Dortch,Greg Dortch,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j5xmpo01eea118axwwaj",ARI,2022,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,9,10,80.0,0,0.0,0.0,38.0,48.0,4.0,2.8367555,0,2.1052632,0.18181819,0.11445783,0.35284775,0.0,8.0,17.0
729,00-0035500,G.Dortch,Greg Dortch,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j5xmpo01eea118axwwaj",ARI,2022,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,6.0,0,0.0,0.0,6.0,0.0,1.0,0.6175707,0,1.0,0.032258064,0.032967035,0.07146402,0.0,0.6,1.6
730,00-0035510,J.Smith,Jeff Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sdywgycu0z3p6ddkjhet",NYJ,2022,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,17.0,0,0.0,0.0,8.0,9.0,1.0,3.8100264,0,2.125,0.023255814,0.020050125,0.04891881,0.0,1.7,2.7
731,00-0035510,J.Smith,Jeff Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sdywgycu0z3p6ddkjhet",NYJ,2022,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,25.0,0.0,0.0,-2.6897247,0,0.0,0.030303031,0.08445946,0.10457617,0.0,0.0,0.0
732,00-0035527,A.Isabella,Andy Isabella,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s3repurenhwlyxci2sqy",ARI,2022,1,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,3,10.0,0,0.0,0.0,30.0,4.0,1.0,-0.25488025,0,0.33333334,0.083333336,0.11278196,0.20394737,0.0,1.0,2.0
733,00-0035527,A.Isabella,Andy Isabella,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s3repurenhwlyxci2sqy",ARI,2022,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,11.0,0,0.0,0.0,40.0,1.0,1.0,0.6082359,0,0.275,0.036363635,0.12048193,0.1388828,0.0,1.1,2.1
734,00-0035535,D.Slayton,Darius Slayton,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kmarbnrywxftriufi7m8",NYG,2022,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,11.0,0,0.0,0.0,63.0,6.0,1.0,0.066545285,0,0.17460318,0.13333334,0.4256757,0.49797297,0.0,1.1,2.1
735,00-0035537,T.Johnson,Ty Johnson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rnnicisnd8bqwheufiel",NYJ,2022,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,3,4.0,0,0.0,0.0,1.0,6.0,0.0,-0.5980278,0,4.0,0.069767445,0.0025062656,0.10640555,0.0,0.4,1.4
736,00-0035544,T.Kennedy,Tom Kennedy,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/smmwtleq204yxkraf4z6",DET,2022,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,5,54.0,0,0.0,0.0,73.0,16.0,3.0,6.6224623,0,0.739726,0.12820514,0.18670076,0.32299823,0.0,5.4,8.4
737,00-0035547,J.Fortson,Joe Fortson,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q4wdp6zldwvcte3dcbdp",KC,2022,1,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,1.0,1,0.0,0.0,1.0,0.0,1.0,0.4887494,0,1.0,0.025641026,0.0032894737,0.04076417,0.0,6.1,7.1
738,00-0035547,J.Fortson,Joe Fortson,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q4wdp6zldwvcte3dcbdp",KC,2022,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,1.0,0.0,0.0,-0.3987823,0,0.0,0.029411765,0.004115226,0.046998307,0.0,0.0,0.0
739,00-0035547,J.Fortson,Joe Fortson,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q4wdp6zldwvcte3dcbdp",KC,2022,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,10.0,1,0.0,0.0,7.0,3.0,1.0,2.4484968,0,1.4285715,0.029411765,0.027559055,0.063408986,0.0,7.0,8.0
740,00-0035567,C.Reynolds,Craig Reynolds,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ikblnb0nei2obulcwekt",DET,2022,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,16.0,0,0.0,0.0,1.0,-0.072454356,0,1,1,13.0,0,0.0,0.0,3.0,10.0,1.0,0.9673709,0,4.3333335,0.029411765,0.01010101,0.051188353,0.0,2.9,3.9
741,00-0035567,C.Reynolds,Craig Reynolds,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ikblnb0nei2obulcwekt",DET,2022,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,6,13.0,0,0.0,0.0,0.0,-2.9722009,0,1,1,5.0,0,0.0,0.0,-1.0,6.0,0.0,-0.9922057,0,-5.0,0.027027028,-0.0028653296,0.03853481,0.0,1.8,2.8
742,00-0035567,C.Reynolds,Craig Reynolds,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ikblnb0nei2obulcwekt",DET,2022,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,30.0,0,0.0,0.0,1.0,2.1723166,0,1,1,12.0,0,0.0,0.0,2.0,10.0,1.0,0.49699086,0,6.0,0.025641026,0.0051150895,0.042042103,0.0,4.2,5.2
743,00-0035572,P.Hesse,Parker Hesse,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hg0zmjun7lawoofz7hr5",ATL,2022,1,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,5.0,0,0.0,0.0,9.0,4.0,1.0,0.6789414,0,0.5555556,0.0625,0.031914894,0.116090424,0.0,0.5,1.5
